packageName	permission	purpose	permissionText	purposeText	rate	level
com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	can get phone state information like on call or not	to log system information when app is running for analytics or development purpose	-0.65	C
com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	in order to provide location information to web sites which request it	-0.25	A
com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	can use user's approximate location	in order to provide location information to web sites which request it	0.15	
com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.3	A
com.UCMobile.intl	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to enable voice search	1.05	
com.UCMobile.intl	CAMERA	INTERNAL	can use camera or flashlight on the phone	to enable its QR scanner feature, which users can use to scan bar/QR code 	1.25	
com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	in order to provide location information to web sites which request it	-0.2	A
com.android.chrome	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login Google accounts	1.3	
com.antivirus	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to add contacts to whitelist in case marking them as spammers	0.2	
com.antivirus	SEND_SMS	INTERNAL	can send out SMS messages	to allow users to invite friends to use this app	-0.8	D
com.antivirus	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to check your Bluetooth setting	0.75	
com.antivirus	ACCESS_COARSE_LOCATION	INTERNAL	can use user's approximate location	to enable finding/locating lost phone via Google Maps	0.9	
com.antivirus	CAMERA	INTERNAL	can use camera or flashlight on the phone	to take a photo of the intruder (or thief) who makes 3 failed attempts to unlock phone and send it to owner by email	1.6	
com.antivirus	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app to enable some features like anti-theft and backup	0.95	
com.antivirus	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to enable finding/locating lost phone via Google Maps	0.95	
com.antivirus	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	0.35	
com.avast.android.mobilesecurity	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable backup phone book	1.0	
com.avast.android.mobilesecurity	READ_CONTACTS	UTILITY	can read user's contact list (phone book) and phone call history	for implementing user interface	-0.25	A
com.avast.android.mobilesecurity	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	0.0	
com.avast.android.mobilesecurity	SEND_SMS	INTERNAL	can send out SMS messages	to enable a feature which allows the app to forward messages to a certain phone number set by users	0.25	
com.avast.android.mobilesecurity	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.5	
com.badoo.mobile	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to find friends in phone book who also use Badoo	-0.35	B
com.badoo.mobile	SEND_SMS	INTERNAL	can send out SMS messages	to allow users to invite friends to use this app	-0.1	A
com.badoo.mobile	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	0.0	
com.badoo.mobile	ACCESS_COARSE_LOCATION	INTERNAL	can use user's approximate location	to allow users to find nearby people	0.5	
com.badoo.mobile	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.85	
com.badoo.mobile	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to find nearby people	0.25	
com.badoo.mobile	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpose	-0.05	A
com.badoo.mobile	READ_PHONE_STATE	PAYMENT	can read phone current state information like signal, carrier, device ID and phone number	to identify users in payment transaction	0.25	
com.bbm	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable find friends from phone book	0.85	
com.bbm	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to allow users to send audio messages	1.25	
com.bbm	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to take and send video or photos	1.5	
com.bbm	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	1.0	
com.bbm	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to send current location to friends	0.4	
com.bbm	AUTHENTICATE_ACCOUNTS	INTERNAL	can use user's account authentication information (like password) or create new accounts	to manage app account informaiton on users' phone	0.6	
com.bestcoolfungames.antsmasher	RECORD_AUDIO	TARGETED_ADS	can record audio through microphone on the phone	for devlivering targeted advertisement	-1.35	D
com.cleanmaster.mguard	READ_PHONE_STATE	INTERNAL	can get phone state information like on call or not, phone ID and phone number	to log system information when app is running for analytics or development purpose	-0.4	B
com.creativemobile.DragRacing	READ_PHONE_STATE	SECONDARY_MARKET	can use user's phone ID or phone number	to identify users to connect with independent/secondary mobile app stores	-0.45	B
com.creativemobile.DragRacing	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.45	B
com.creativemobile.DragRacing	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.85	D
com.creativemobile.DragRacing	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.8	D
com.creativemobile.DragRacing	GET_ACCOUNTS	SECONDARY_MARKET	can use user's accounts information stored on the phone	to connect with independent/secondary mobile app stores	-0.65	C
com.devuni.flashlight	CAMERA	INTERNAL	can use camera or flashlight on the phone	to enable its flashlight function	1.7894736842105263	
com.dianxinos.dxbs	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to help users know exactly how much battery left with detailed analysis of Android apps AND hardware (CPU, display, sensors, WiFi, radio, etc.)	0.65	
com.dianxinos.dxbs	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to check users Bluetooth setting	0.4	
com.dianxinos.dxbs	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	-0.4	B
com.dragonplay.liveholdempro	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.6	C
com.easy.battery.saver	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	can use user's precise location	for market/customer analysis	-0.9	D
com.easy.battery.saver	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.15	A
com.easy.battery.saver	READ_PHONE_STATE	MOBILE_ANALYTICS	can read phone current state information like signal, carrier, device ID and phone number	to identify users for market/customer analysis	-0.55	B
com.easy.battery.saver	BLUETOOTH	INTERNAL	can connect to user's Bluetooth devices	to check users Bluetooth setting	0.25	
com.ebay.mobile	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to enable Ebay to get more relevant search results to users based on users location	0.3	
com.ebay.mobile	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to scan barcodes for comparison shopping or to begin users' listing, and to allow users to take photos when listing an item.	1.2	
com.evernote	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login Evernote	0.85	
com.evernote	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to allow users take audio notes	1.15	
com.evernote	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to take photos as notes	1.3	
com.evernote	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable search contacts when users want to invite a friend to use Evernote	0.1	
com.evernote	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	0.95	
com.evernote	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to add location information to notes	0.25	
com.evernote	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.2	A
com.evernote	AUTHENTICATE_ACCOUNTS	INTERNAL	can use user's account authentication information (like password) or create new accounts	to manage app account informaiton on users' phone	0.6	
com.facebook.katana	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	for tagging content with users' current location like when you checkin, send messages or share content	0.65	
com.facebook.katana	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpose	0.2	
com.facebook.katana	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login Facebook	1.2	
com.facebook.katana	READ_CONTACTS	INTERNAL	can read user's contact list (phone book)	to allow users to import phone's contacts to Facebook and syc your Facebook contacts to your phone	0.85	
com.facebook.orca	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to allow users to text to friends in contacts, even if you are not Facebook friends	0.5	
com.facebook.orca	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to allow users to send voice messages	1.1	
com.facebook.orca	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login Facebook account	0.95	
com.facebook.orca	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to share users' location with nearby friends	0.05	
com.facebook.orca	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpose	-0.05263157894736842	A
com.fingersoft.hillclimb	READ_PHONE_STATE	MOBILE_ANALYTICS	can use user's phone ID or phone number	to identify users for market/customer analysis	-0.8	D
com.forshared	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.5	B
com.forshared	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.9411764705882352	D
com.gameloft.android.ANMP.GloftDMHM	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.8	D
com.gameloft.android.ANMP.GloftDMHM	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	for business analytics done by the developer	-0.6	C
com.gameloft.android.ANMP.GloftIAHM	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.3157894736842105	B
com.gameloft.android.ANMP.GloftIAHM	READ_PHONE_STATE	TARGETED_ADS	can use user's phone ID or phone number	to identify users for delivering targeted advertisement	-0.7	C
com.gau.go.launcherex	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to create phone book widget	0.4	
com.google.android.apps.books	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	0.9285714285714286	
com.google.android.apps.docs	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable sharing with contacts in phone book	0.4	
com.google.android.apps.docs	CAMERA	INTERNAL	can use camera or flashlight on the phone	to allow users to scan files and upload to Google Drive	1.25	
com.google.android.apps.docs	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app with Google accounts	1.4210526315789471	
com.google.android.apps.googlevoice	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable call contacts from phone book	1.3157894736842106	
com.google.android.apps.googlevoice	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpos	1.05	
com.google.android.apps.googlevoice	SEND_SMS	INTERNAL	can send out SMS messages	to allow users to send text messages with this app	1.7	
com.google.android.apps.googlevoice	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login the app	1.1052631578947372	
com.google.android.apps.maps	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to get users' current location	1.263157894736842	
com.google.android.apps.maps	GET_ACCOUNTS	INTERNAL	can use user's accounts information stored on the phone	to login with Google account	1.1578947368421053	
com.google.android.apps.maps	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login with Google account	1.2105263157894737	
com.google.android.apps.maps	READ_CONTACTS	INTERNAL	can read user's contact list (phone book) and phone call history	to enable search address information of users' contacts	0.3157894736842105	
com.google.android.apps.plus	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	to allow users to share location to friends	0.25	
com.google.android.apps.plus	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to identify different phones used by users, usually for security purpose	0.5	
